original_ja,en_predictions,en_references,dataset
彼女は花に慰められた。,She was comforted by the flowers.,The flowers cheered her up.,tatoeba
彼の言葉はあまりにもひどくて繰り返しに耐えない。,His words are so bad that he can't bear to repeat them.,His language is not fit to be repeated.,tatoeba
大都会には誘惑が多い。,There's a lot of temptation in big cities.,The big cities are full of allurements.,tatoeba
私たちはお互い少しあきてきた。,We came a little close to each other.,We got a little bored with each other.,tatoeba
街を楽しんでいるかい？,Are you enjoying the city?,Are you enjoying the city?,tatoeba
ジュディはとても利口な学生である。,Judy is a very clever student.,Judy is a very clever student.,tatoeba
昨日知らない人が、私に電話をかけてきた。,A stranger called me yesterday.,A stranger phoned me yesterday.,tatoeba
彼は喫煙という悪い習慣を断ち切った。,He broke the bad habit of smoking.,He broke himself of the bad habit of smoking.,tatoeba
彼は急いで家へ帰ったが、結局だれもいなかった。,"He hurried home, only to find no one.",He hurried to the house only to find that it was empty.,tatoeba
私は綿製のブラウスの方が好きだ。,I prefer cotton blouses.,I prefer blouses made from cotton.,tatoeba
その野球の試合は雨のために中止になりました。,The baseball game was called off because of the rain.,The baseball game was called off because of rain.,tatoeba
彼女は親切にも私たちに知らせてくれた。,She was kind enough to let us know.,She had the kindness to inform us.,tatoeba
彼女は無関心を装った。,She pretended to be indifferent.,She assumed an air of indifference.,tatoeba
その巨人は誰にも愛されなかった。,The giant was not loved by anyone.,The giant was not loved by anybody.,tatoeba
８時なのであなたはすぐに学校に行かなくてはいけないと思う。,"Since it's eight o'clock, I think you have to go to school right away.","Seeing that it is 8 o'clock, I think you should leave for school soon.",tatoeba
これは自家製のジャムです。,This is homemade jam.,This is homemade jam.,tatoeba
日本経済は不況である。,The Japanese economy is in a recession.,The Japanese economy is in depression.,tatoeba
クリンゴン語を話せますか？,Do you speak Klingon?,Do you speak Klingon?,tatoeba
私の時計は１０時です。,My watch is ten o'clock.,It is ten o'clock by my watch.,tatoeba
彼は君の言うことならなんでも耳を傾けるだろう。,He will listen to whatever you say.,He listens to whatever you say.,tatoeba
トムは毎朝６時に起きる。,Tom gets up at six every morning.,Tom gets up at six every morning.,tatoeba
それは最大規模の夏フェスの一つだ。,It's one of the largest summer festivals.,It is one of the biggest summer festivals.,tatoeba
ヘビを見て足がすくんでしまった。,"When I saw the snake, my feet were paralyzed.",I froze at the sight of the snake.,tatoeba
田舎に住んでいるので、来客はほとんどない。,"Living in the country, we have few visitors.","Living in the country, I have few visitors.",tatoeba
いつ帰ってくるの？,When are you coming back?,When will you come back home?,tatoeba
彼女は自分のスケジュールを彼のに合わせた。,She adjusted her schedule to his.,She accommodated her schedule to his.,tatoeba
彼女はどんな色がすきか知っていますか。,Do you know what color she likes?,Do you know what color she likes?,tatoeba
本は一度に３冊借りる事が出来ます。,You can borrow three books at a time.,You can borrow three books at a time.,tatoeba
この夏は３６年ぶりの暑さになるようだ。,This summer seems to be the first hot one in 36 years.,This is going to be the hottest summer in thirty-six years.,tatoeba
滞在の目的は何ですか。,What's the purpose of your stay?,What's the purpose of your visit?,tatoeba
彼女は病院に連れていかれた時に正気にかえった。,She came to her senses when she was taken to the hospital.,She came to herself when she was taken to the hospital.,tatoeba
すぐにわかるところにある。,It's where you'll soon find it.,It's in plain sight.,tatoeba
彼は四つん這いになって、指輪を探し始めた。,He climbed on all fours and started looking for a ring.,He got down on all fours and started searching for the ring.,tatoeba
こっそり教えてくれたら、礼をはずみますよ。,"If you tell me secretly, I'll thank you.","If you tip me off about it, I'll make it worth your while.",tatoeba
"f(x) = 2x+1の定義域がA=[1,2]のとき、fの値域はf(A) = [3,5]となる。","If f of x is equal to 2x plus 1, then the domain of f of 0 is equal to [3, 5].","For f(x)=2x+1, when the domain of the function is [1,2], the range is [3,5].",tatoeba
私は５人の婦人の誰も知りません。,I don't know any of the five ladies.,I don't know any of the five ladies.,tatoeba
あなたの推量は的はずれだ。,Your guess is off the mark.,Your guess is quite wrong.,tatoeba
彼は昨夜遅く帰宅した。,He came home late last night.,He came home late last night.,tatoeba
私があなたの代わりにそこに行きましょう。,I'll go there instead of you.,I will go there in place of you.,tatoeba
なんと大きな犬だろう。,What a big dog!,What a big dog that is!,tatoeba
彼は回復する見込みがない。,He has no chance of recovery.,There's no chance that he'll recover.,tatoeba
私が着いたころには、彼はすでに出発してしまっていた。,"By the time I arrived, he had already left.","By the time I arrived, he had already left.",tatoeba
彼女は私の忠告を快く受けなかった。,She didn't take my advice well.,She did not take kindly to my advice.,tatoeba
ここから海岸までは大体3kmくらいです。,It's about three kilometers from here to the coast.,"From here, it's about three kilometers to the coast.",tatoeba
またトムが何か壊したの？,Did Tom break something again?,Has Tom broken something again?,tatoeba
今朝は少し熱がありました。,I had a slight fever this morning.,I had a little fever this morning.,tatoeba
彼は息子が着いた日に亡くなった。,He died the day his son arrived.,He died on the day his son arrived.,tatoeba
その選手はファンに歓呼して迎えられた。,The player was hailed and welcomed by the fans.,The player was acclaimed by the fans.,tatoeba
彼女は腕で膝を抱え込み、組んだ手のうえにあごをのせていた。,She held her knee in her arms and had her chin on top of her partner's hand.,"Her arms were wrapped around her knees, her chin rested on her locked hands.",tatoeba
そのボートは岸辺に碇を降ろした。,The boat dropped its anchor on the shore.,The boat anchored near the shore.,tatoeba
彼は家賃をだいぶためている。,He's saving a lot of rent.,He is way behind on his rent.,tatoeba
彼らは彼女を心から崇拝している。,They worship her from the heart.,They admire her deeply.,tatoeba
彼女は毛糸でセーターを編んでいる。,She's knitting a sweater with wool.,She is knitting a sweater.,tatoeba
くそっ。,Shit.,Shit.,tatoeba
太陽電池で動く自動車を望んでいる。,I want a car that works on solar cells.,I want a car that runs on solar power.,tatoeba
守りを固めろ！来るぞ！,They're coming!,Tighten the defences! They're coming!,tatoeba
