original_ja,en_predictions,en_references,dataset
彼女は花に慰められた。,she was comforted by the flowers.,The flowers cheered her up.,tatoeba
彼の言葉はあまりにもひどくて繰り返しに耐えない。,"his words are so terrible, they don't hold up.",His language is not fit to be repeated.,tatoeba
大都会には誘惑が多い。,big cities are full of temptation.,The big cities are full of allurements.,tatoeba
私たちはお互い少しあきてきた。,we've come a little closer to each other.,We got a little bored with each other.,tatoeba
街を楽しんでいるかい？,are you enjoying the city?,Are you enjoying the city?,tatoeba
ジュディはとても利口な学生である。,judy's a very smart student.,Judy is a very clever student.,tatoeba
昨日知らない人が、私に電話をかけてきた。,a stranger called me yesterday.,A stranger phoned me yesterday.,tatoeba
彼は喫煙という悪い習慣を断ち切った。,he stopped the bad habit of smoking.,He broke himself of the bad habit of smoking.,tatoeba
彼は急いで家へ帰ったが、結局だれもいなかった。,"he rushed home, but there was no one there.",He hurried to the house only to find that it was empty.,tatoeba
私は綿製のブラウスの方が好きだ。,i like cottonbraids better.,I prefer blouses made from cotton.,tatoeba
その野球の試合は雨のために中止になりました。,the baseball game was cancelled because of the rain.,The baseball game was called off because of rain.,tatoeba
彼女は親切にも私たちに知らせてくれた。,she was kind enough to let us know.,She had the kindness to inform us.,tatoeba
彼女は無関心を装った。,she pretended she wasn't interested.,She assumed an air of indifference.,tatoeba
その巨人は誰にも愛されなかった。,that titan was never loved by anyone.,The giant was not loved by anybody.,tatoeba
８時なのであなたはすぐに学校に行かなくてはいけないと思う。,i think you have to go to school at 8 o'clock.,"Seeing that it is 8 o'clock, I think you should leave for school soon.",tatoeba
これは自家製のジャムです。,this is a homemade jam.,This is homemade jam.,tatoeba
日本経済は不況である。,japan's economy is in a recession.,The Japanese economy is in depression.,tatoeba
クリンゴン語を話せますか？,do you speak klingon?,Do you speak Klingon?,tatoeba
私の時計は１０時です。,my clock is at 10.,It is ten o'clock by my watch.,tatoeba
彼は君の言うことならなんでも耳を傾けるだろう。,he'll listen to anything you say.,He listens to whatever you say.,tatoeba
トムは毎朝６時に起きる。,tom wakes up at six in the morning.,Tom gets up at six every morning.,tatoeba
それは最大規模の夏フェスの一つだ。,it's one of the largest summer festivals.,It is one of the biggest summer festivals.,tatoeba
ヘビを見て足がすくんでしまった。,"when i saw the snake, i lost my legs.",I froze at the sight of the snake.,tatoeba
田舎に住んでいるので、来客はほとんどない。,"i live in the country, so i don't get many visitors.","Living in the country, I have few visitors.",tatoeba
いつ帰ってくるの？,when are you coming back?,When will you come back home?,tatoeba
彼女は自分のスケジュールを彼のに合わせた。,she put her schedule on him.,She accommodated her schedule to his.,tatoeba
彼女はどんな色がすきか知っていますか。,does she know what color it is?,Do you know what color she likes?,tatoeba
本は一度に３冊借りる事が出来ます。,you can borrow three books at the same time.,You can borrow three books at a time.,tatoeba
この夏は３６年ぶりの暑さになるようだ。,this summer will be the hotest in 36 years.,This is going to be the hottest summer in thirty-six years.,tatoeba
滞在の目的は何ですか。,what is the purpose of your stay?,What's the purpose of your visit?,tatoeba
彼女は病院に連れていかれた時に正気にかえった。,"when she was taken to the hospital, she went insane.",She came to herself when she was taken to the hospital.,tatoeba
すぐにわかるところにある。,we'll find out soon enough.,It's in plain sight.,tatoeba
彼は四つん這いになって、指輪を探し始めた。,he crawled to the four corners and began to look for the ring.,He got down on all fours and started searching for the ring.,tatoeba
こっそり教えてくれたら、礼をはずみますよ。,"if you tell me this in secret, i'm going to look down on you.","If you tip me off about it, I'll make it worth your while.",tatoeba
"f(x) = 2x+1の定義域がA=[1,2]のとき、fの値域はf(A) = [3,5]となる。","when the definition of f equals a, f becomes [threefive].","For f(x)=2x+1, when the domain of the function is [1,2], the range is [3,5].",tatoeba
私は５人の婦人の誰も知りません。,i don't know any of the five ladies.,I don't know any of the five ladies.,tatoeba
あなたの推量は的はずれだ。,your deduction is out of line.,Your guess is quite wrong.,tatoeba
彼は昨夜遅く帰宅した。,he came home late last night.,He came home late last night.,tatoeba
私があなたの代わりにそこに行きましょう。,let me go there instead of you.,I will go there in place of you.,tatoeba
なんと大きな犬だろう。,what a big dog.,What a big dog that is!,tatoeba
彼は回復する見込みがない。,he has no chance of recovering.,There's no chance that he'll recover.,tatoeba
私が着いたころには、彼はすでに出発してしまっていた。,"by the time i got there, he was already leaving.","By the time I arrived, he had already left.",tatoeba
彼女は私の忠告を快く受けなかった。,she didn't take my advice well.,She did not take kindly to my advice.,tatoeba
ここから海岸までは大体3kmくらいです。,it's about three kilometers from here to the coast.,"From here, it's about three kilometers to the coast.",tatoeba
またトムが何か壊したの？,did tom break something again?,Has Tom broken something again?,tatoeba
今朝は少し熱がありました。,i had a little fever this morning.,I had a little fever this morning.,tatoeba
彼は息子が着いた日に亡くなった。,he died the day my son arrived.,He died on the day his son arrived.,tatoeba
その選手はファンに歓呼して迎えられた。,that player was greeted by fans.,The player was acclaimed by the fans.,tatoeba
彼女は腕で膝を抱え込み、組んだ手のうえにあごをのせていた。,"she was holding her knee with her arms, and she was putting her chin on top of it.","Her arms were wrapped around her knees, her chin rested on her locked hands.",tatoeba
そのボートは岸辺に碇を降ろした。,that boat dropped a kite on the shore.,The boat anchored near the shore.,tatoeba
彼は家賃をだいぶためている。,he's paying a lot of rent.,He is way behind on his rent.,tatoeba
彼らは彼女を心から崇拝している。,they admire her from the bottom of their hearts.,They admire her deeply.,tatoeba
彼女は毛糸でセーターを編んでいる。,she's knitting a sweater out of wool.,She is knitting a sweater.,tatoeba
くそっ。,damn it!,Shit.,tatoeba
太陽電池で動く自動車を望んでいる。,i want a solarpowered car.,I want a car that runs on solar power.,tatoeba
守りを固めろ！来るぞ！,they're coming!,Tighten the defences! They're coming!,tatoeba
彼が登場すると群集は歓声を上げた。,the crowd cheered when he appeared.,The crowd cheered when he appeared.,tatoeba
見知らぬ人が近づいてきて、私に博物館へ行く道をたずねた。,a stranger approached me and asked me the way to the museum.,"A stranger came up, asking me the way to the museum.",tatoeba
制服を着なさい。,put on your uniform.,Put on your uniform.,tatoeba
あなたはその結果に満足していますか。,are you satisfied with that outcome?,Are you satisfied with the result?,tatoeba
我々は地域社会について考えないといけない。,we have to think about the community.,We must think about the community.,tatoeba
水の価値は井戸がかれて始めて分かる。,the water's value is only beginning to be known from the well.,We never know the worth of water till the well is dry.,tatoeba
私たちは草の上に横になった。,we lay on the grass.,We lay on the grass.,tatoeba
彼女は忘れ物を渡すために彼を呼び戻した。,she called him back to give him something she left behind.,She called him back to give him something left behind.,tatoeba
彼女は日本人です。,she's japanese.,She is Japanese.,tatoeba
誰が君にそのニュースを教えたのですか。,who told you that news?,Who told you the news?,tatoeba
