original_ja,en_predictions,en_references,dataset
彼女は花に慰められた。,She was comforted by the flowers.,The flowers cheered her up.,tatoeba
彼の言葉はあまりにもひどくて繰り返しに耐えない。,His words are too bad to bear repetition.,His language is not fit to be repeated.,tatoeba
大都会には誘惑が多い。,There is a lot of temptation in big cities.,The big cities are full of allurements.,tatoeba
私たちはお互い少しあきてきた。,We came a little awake with each other.,We got a little bored with each other.,tatoeba
街を楽しんでいるかい？,are you enjoying the city?,Are you enjoying the city?,tatoeba
ジュディはとても利口な学生である。,Judy is a very clever student.,Judy is a very clever student.,tatoeba
昨日知らない人が、私に電話をかけてきた。,A stranger called me yesterday.,A stranger phoned me yesterday.,tatoeba
彼は喫煙という悪い習慣を断ち切った。,He cut off the bad habit of smoking.,He broke himself of the bad habit of smoking.,tatoeba
彼は急いで家へ帰ったが、結局だれもいなかった。,"He hurried home, but in the end no one was there.",He hurried to the house only to find that it was empty.,tatoeba
私は綿製のブラウスの方が好きだ。,I prefer cotton blouses.,I prefer blouses made from cotton.,tatoeba
その野球の試合は雨のために中止になりました。,The baseball game was called off because of the rain.,The baseball game was called off because of rain.,tatoeba
彼女は親切にも私たちに知らせてくれた。,She was kind enough to let us know.,She had the kindness to inform us.,tatoeba
彼女は無関心を装った。,She pretended to be indifferent.,She assumed an air of indifference.,tatoeba
その巨人は誰にも愛されなかった。,The giant was loved by no one.,The giant was not loved by anybody.,tatoeba
８時なのであなたはすぐに学校に行かなくてはいけないと思う。,"It's eight o'clock, so I think you must go to school at once.","Seeing that it is 8 o'clock, I think you should leave for school soon.",tatoeba
これは自家製のジャムです。,This is a homemade jam.,This is homemade jam.,tatoeba
日本経済は不況である。,The Japanese economy is in a recession.,The Japanese economy is in depression.,tatoeba
クリンゴン語を話せますか？,Can you speak Klingon?,Do you speak Klingon?,tatoeba
私の時計は１０時です。,My watch is at ten.,It is ten o'clock by my watch.,tatoeba
彼は君の言うことならなんでも耳を傾けるだろう。,He will listen to whatever you say.,He listens to whatever you say.,tatoeba
トムは毎朝６時に起きる。,Tom gets up at six every morning.,Tom gets up at six every morning.,tatoeba
それは最大規模の夏フェスの一つだ。,It is one of the largest summer festivals.,It is one of the biggest summer festivals.,tatoeba
ヘビを見て足がすくんでしまった。,I'm soaked at the sight of the snake.,I froze at the sight of the snake.,tatoeba
田舎に住んでいるので、来客はほとんどない。,"Living in the countryside, there are few visitors.","Living in the country, I have few visitors.",tatoeba
いつ帰ってくるの？,when are you coming back?,When will you come back home?,tatoeba
彼女は自分のスケジュールを彼のに合わせた。,She adjusted her schedule to his.,She accommodated her schedule to his.,tatoeba
彼女はどんな色がすきか知っていますか。,Do you know what color she looks like?,Do you know what color she likes?,tatoeba
本は一度に３冊借りる事が出来ます。,You can borrow three books at a time.,You can borrow three books at a time.,tatoeba
この夏は３６年ぶりの暑さになるようだ。,It looks like this summer will be the first time in 36 years.,This is going to be the hottest summer in thirty-six years.,tatoeba
滞在の目的は何ですか。,What is the purpose of your stay?,What's the purpose of your visit?,tatoeba
彼女は病院に連れていかれた時に正気にかえった。,She got offended when she was taken to the hospital.,She came to herself when she was taken to the hospital.,tatoeba
すぐにわかるところにある。,You can see it right away.,It's in plain sight.,tatoeba
彼は四つん這いになって、指輪を探し始めた。,He became so ugly that he began to look for the ring.,He got down on all fours and started searching for the ring.,tatoeba
こっそり教えてくれたら、礼をはずみますよ。,"If you tell me secretly, I'll thank you.","If you tip me off about it, I'll make it worth your while.",tatoeba
"f(x) = 2x+1の定義域がA=[1,2]のとき、fの値域はf(A) = [3,5]となる。","If the domain of f(x) = 2x+1 is A=[1,2], then the range of f is f(A) = [3,5].","For f(x)=2x+1, when the domain of the function is [1,2], the range is [3,5].",tatoeba
私は５人の婦人の誰も知りません。,I don't know any of the five women.,I don't know any of the five ladies.,tatoeba
あなたの推量は的はずれだ。,Your guess is off the mark.,Your guess is quite wrong.,tatoeba
彼は昨夜遅く帰宅した。,He came home late last night.,He came home late last night.,tatoeba
私があなたの代わりにそこに行きましょう。,I'll go there instead of you.,I will go there in place of you.,tatoeba
なんと大きな犬だろう。,What a big dog!,What a big dog that is!,tatoeba
彼は回復する見込みがない。,He has no chance of recovering.,There's no chance that he'll recover.,tatoeba
私が着いたころには、彼はすでに出発してしまっていた。,"By the time I arrived, he had already left.","By the time I arrived, he had already left.",tatoeba
彼女は私の忠告を快く受けなかった。,She was unhappy with my advice.,She did not take kindly to my advice.,tatoeba
ここから海岸までは大体3kmくらいです。,It is about 3 km from here to the coast.,"From here, it's about three kilometers to the coast.",tatoeba
またトムが何か壊したの？,Did Tom break something again?,Has Tom broken something again?,tatoeba
今朝は少し熱がありました。,I had a little fever this morning.,I had a little fever this morning.,tatoeba
彼は息子が着いた日に亡くなった。,He died the day his son arrived.,He died on the day his son arrived.,tatoeba
その選手はファンに歓呼して迎えられた。,The player was greeted by his fans.,The player was acclaimed by the fans.,tatoeba
彼女は腕で膝を抱え込み、組んだ手のうえにあごをのせていた。,She held her knees in her arms and put her chin on her folded hands.,"Her arms were wrapped around her knees, her chin rested on her locked hands.",tatoeba
そのボートは岸辺に碇を降ろした。,The boat lowered the fence on the shore.,The boat anchored near the shore.,tatoeba
彼は家賃をだいぶためている。,He pays a lot of rent.,He is way behind on his rent.,tatoeba
彼らは彼女を心から崇拝している。,They worship her from the bottom of their hearts.,They admire her deeply.,tatoeba
彼女は毛糸でセーターを編んでいる。,She is knitting a sweater with wool.,She is knitting a sweater.,tatoeba
くそっ。,damn it.,Shit.,tatoeba
太陽電池で動く自動車を望んでいる。,I want a solar-powered car.,I want a car that runs on solar power.,tatoeba
守りを固めろ！来るぞ！,solidify your defenses! we're coming!,Tighten the defences! They're coming!,tatoeba
彼が登場すると群集は歓声を上げた。,"When he appeared, the crowd cheered.",The crowd cheered when he appeared.,tatoeba
見知らぬ人が近づいてきて、私に博物館へ行く道をたずねた。,A stranger approached me and asked me the way to the museum.,"A stranger came up, asking me the way to the museum.",tatoeba
制服を着なさい。,Put on your uniform.,Put on your uniform.,tatoeba
あなたはその結果に満足していますか。,Are you satisfied with the result?,Are you satisfied with the result?,tatoeba
我々は地域社会について考えないといけない。,We have to think about the community.,We must think about the community.,tatoeba
水の価値は井戸がかれて始めて分かる。,The value of water is known only after the well is made.,We never know the worth of water till the well is dry.,tatoeba
私たちは草の上に横になった。,We lay on the grass.,We lay on the grass.,tatoeba
彼女は忘れ物を渡すために彼を呼び戻した。,She called him back to give him something she had forgotten.,She called him back to give him something left behind.,tatoeba
彼女は日本人です。,She is Japanese.,She is Japanese.,tatoeba
誰が君にそのニュースを教えたのですか。,Who told you the news?,Who told you the news?,tatoeba
トムが遅刻するのもいたしかたなかった。,Tom had no choice but to be late.,Tom had a good reason for being late.,tatoeba
月は夜に輝く。,The moon shines at night.,The moon shines at night.,tatoeba
トムを見ませんでしたか？,Didn't you see Tom?,Didn't you see Tom?,tatoeba
月々給料の一部を貯金しておけば損はないよ。,You don't lose money if you save part of your salary every month.,It will pay you to save a part of your salary each month.,tatoeba
期待に応えられなくてごめんなさい。,I'm sorry I couldn't meet your expectations.,I'm sorry I couldn't live up to your expectations.,tatoeba
ジョンはサミーのレコード全集を持っている。,John has a complete collection of Sammy's records.,John has the complete collection of Sam's music.,tatoeba
彼女の振る舞いはその場にふさわしいものだった。,Her behavior was appropriate for the occasion.,Her behavior was appropriate to the occasion.,tatoeba
この種の辞書は市販されている。,This kind of dictionary is on the market.,These dictionaries are on the market.,tatoeba
トムは自分の電話番号を書いた。,Tom wrote his phone number.,Tom wrote down his phone number.,tatoeba
やれやれ、女を選んで結婚することになるのか・・・。,Do you want to choose a woman and get married?,Maybe I will settle down with a woman.,tatoeba
父は結果に満足していました。,My father was satisfied with the results.,My father was happy with the result.,tatoeba
りんごが木から落ちた。,An apple fell from the tree.,The apple fell from the tree.,tatoeba
彼には全く腹が立った。,I was completely angry with him.,I was very much annoyed with him.,tatoeba
彼はその仕事をやれる力量があった。,He had the ability to do the work.,He was equal to the job.,tatoeba
自分の部屋の掃除をしなければならない。,I have to clean my room.,I have to clean my room.,tatoeba
私たちは戦いに勝った。,We won the battle.,We won the battle.,tatoeba
私はフランス語で小説を書くことは出来ないと思う。,I don't think I can write a novel in French.,I think it impossible for me to write a novel in French.,tatoeba
彼の家族は彼のことを敬愛していた。そしてある意味で彼は彼らに甘やかされていた。,"His family loved him, and in a sense he was spoiled by them.",His family adored him and in a sense he was spoiled by them.,tatoeba
彼は大きな花束を抱えてやって来た。,He came with a large bouquet of flowers.,He came bearing a large bunch of flowers.,tatoeba
今度の協定を３社で承認し合った。,The agreement was approved by three companies.,This agreement was confirmed by three companies.,tatoeba
走ったほうがよさそうだ。,I'd rather run.,I must run.,tatoeba
あの男は一週間前に肺ガンで死んだ。,The man died of lung cancer a week ago.,That man died of lung cancer a week ago.,tatoeba
ジョーはその女の子にすっかり参っている。,Joe is all over the girl.,Joe's nuts about the girl.,tatoeba
君がいつも遅刻するのはどういうわけかね。,I wonder what it means for you to be always late.,Why is it that you're always late?,tatoeba
ビルがどこに行ってしまったかだれも知らない。,No one knows where Bill has gone.,Nobody knows where Bill has gone.,tatoeba
私は以前、あの女の子に会ったことがある。,I've met that girl before.,I have seen that girl before.,tatoeba
我々の相互理解が必要である。,We need to understand each other.,Our mutual understanding is indispensable.,tatoeba
私の声のテープを送ります。,I'll send you a tape of my voice.,I will send you a tape of my voice.,tatoeba
